name,latitude_deg,longitude_deg,iso_country
Sydney / J.A. Douglas McCurdy Airport,46.1614,-60.047798,Canada
Quesnel Airport,53.026100158691406,-122.51000213623048,Canada
Resolute Bay Airport,74.7169036865,-94.9693984985,Canada
Rivière-du-Loup Airport,47.76440048217773,-69.58470153808594,Canada
Roberval Airport,48.519665,-72.265735,Canada
Red Lake Airport,51.06689834594727,-93.79309844970705,Canada
Ottawa / Rockcliffe Airport,45.4603004456,-75.64610290530001,Canada
Ottawa / Carp Airport,45.3191986084,-76.0222015381,Canada
Trois-Rivières Airport,46.35279846191406,-72.67939758300781,Canada
Rankin Inlet Airport,62.8114013672,-92.1157989502,Canada
Revelstoke Airport,50.962245,-118.184258,Canada
Sudbury Airport,46.625,-80.79889678955078,Canada
Sherbrooke Airport,45.438599,-71.691399,Canada
Stony Rapids Airport,59.250301361083984,-105.84100341796876,Canada
Saint-Georges Airport,46.096401,-70.714699,Canada
Smiths Falls-Montague (Russ Beach) Airport,44.945801,-75.940598,Canada
Saint John Airport,45.31610107421875,-65.89029693603516,Canada
Saint-Léonard Airport,47.157097,-67.836242,Canada
Fort Smith Airport,60.020302,-111.961998,Canada
Niagara District Airport,43.191598,-79.171686,Canada
Marathon Airport,48.75529861450195,-86.34439849853516,Canada
Summerside Airport,46.440601,-63.833599,Canada
Pembroke Airport,45.86439895629883,-77.25170135498047,Canada
Alma Airport,48.5089,-71.641899,Canada
Thompson Airport,55.80110168457031,-97.86419677734376,Canada
CFB Trenton,44.118900299072266,-77.5280990600586,Canada
Timmins/Victor M. Power,48.5696983337,-81.376701355,Canada
Billy Bishop Toronto City Centre Airport,43.627499,-79.396202,Canada
Montreal / Pierre Elliott Trudeau International Airport,45.467837,-73.742294,Canada
Hall Beach Airport,68.7761,-81.2425,Canada
Rouyn Noranda Airport,48.20610046386719,-78.83560180664062,Canada
Bonaventure Airport,48.071098,-65.460297,Canada
La Ronge Airport,55.1514015198,-105.262001038,Canada
Virden / RJ (Bob) Andrew Field Regional Aerodrome,49.8783,-100.917999,Canada
Vernon Regional Airport,50.246163,-119.330963,Canada
Val-d'Or Airport,48.0532989502,-77.7827987671,Canada
Kuujjuaq Airport,58.096099853515625,-68.4269027709961,Canada
Norman Wells Airport,65.28160095214844,-126.7979965209961,Canada
Vancouver International Airport,49.193901062,-123.183998108,Canada
Wiarton Airport,44.7458,-81.107201,Canada
Winnipeg / James Armstrong Richardson International Airport,49.9099998474,-97.2398986816,Canada
Wabush Airport,52.92190170288086,-66.8644027709961,Canada
Williams Lake Airport,52.1831016541,-122.054000854,Canada
Wrigley Airport,63.20940017700195,-123.43699645996094,Canada
Cranbrook/Canadian Rockies International Airport,49.610801696777,-115.78199768066,Canada
Saskatoon John G. Diefenbaker International Airport,52.17079925537109,-106.6999969482422,Canada
Medicine Hat Regional Airport,50.018902,-110.721001,Canada
Fort St John / North Peace Regional Airport,56.238098,-120.739998,Canada
Rimouski Airport,48.477644,-68.496323,Canada
Sioux Lookout Airport,50.11389923095703,-91.9052963256836,Canada
Beaver Creek Airport,62.410301208496094,-140.86700439453125,Canada
Earlton (Timiskaming Regional) Airport,47.6974006546,-79.8473453522,Canada
Prince George Airport,53.884311,-122.666554,Canada
Northwest Regional Airport Terrace-Kitimat,54.468498,-128.576009,Canada
London Airport,43.035599,-81.1539,Canada
Abbotsford International Airport,49.025299,-122.361,Canada
Whitehorse / Erik Nielsen International Airport,60.709599,-135.067001,Canada
Wawa Airport,47.96670150756836,-84.78669738769531,Canada
North Bay Jack Garland Airport,46.363602,-79.422798,Canada
Calgary International Airport,51.118822,-114.009933,Canada
Smithers Airport,54.82469940185547,-127.18299865722656,Canada
Fort Nelson Airport,58.8363990784,-122.597000122,Canada
Penticton Airport,49.46310043334961,-119.60199737548828,Canada
Charlottetown Airport,46.290000915527344,-63.12110137939453,Canada
Victoria International Airport,48.647201,-123.427792,Canada
Lynn Lake Airport,56.86389923095703,-101.07599639892578,Canada
Swift Current Airport,50.2919006348,-107.691001892,Canada
Churchill Airport,58.739200592041016,-94.06500244140624,Canada
Goose Bay Airport,53.3191986084,-60.4258003235,Canada
St. John's International Airport,47.618599,-52.7519,Canada
Kapuskasing Airport,49.411587,-82.469645,Canada
Armstrong Airport,50.29029846191406,-88.90969848632812,Canada
Mont Joli Airport,48.60860061645508,-68.20809936523438,Canada
Toronto Lester B. Pearson International Airport,43.6772,-79.6306,Canada
Gore Bay Manitoulin Airport,45.8853,-82.567802,Canada
